CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,35,35,0,0,1000,0
2,41,49,10,707,848,10
3,35,17,7,143,282,10
4,55,45,13,527,584,10
5,55,20,19,678,801,10
6,15,30,26,34,209,10
7,25,30,3,415,514,10
8,20,50,5,331,410,10
9,10,43,9,404,481,10
10,55,60,16,400,497,10
11,30,60,16,577,632,10
12,20,65,12,206,325,10
13,50,35,19,228,345,10
14,30,25,23,690,827,10
15,15,10,20,32,243,10
16,30,5,8,175,300,10
17,10,20,19,272,373,10
18,5,30,2,733,870,10
19,20,40,12,377,434,10
20,15,60,17,269,378,10
21,45,65,9,581,666,10
22,45,20,11,214,331,10
23,45,10,18,409,494,10
24,55,5,29,206,325,10
25,65,35,3,704,847,10
26,65,20,6,817,956,10
