CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME,NODE_TYPE,ORIGINAL_CUST_NO
1,50,50,0,0,1440,0,depot,1
2,51,92,17,644,1135,103,normal,2
3,14,71,21,234,746,126,normal,3
4,60,20,22,1118,1187,11,urgent,4
5,82,86,18,361,884,108,normal,5
6,74,74,45,66,138,17,urgent,6
7,87,99,42,398,972,246,normal,7
8,23,2,6,339,820,39,normal,8
9,21,52,26,801,879,12,urgent,9
10,1,87,24,186,700,143,normal,10
11,29,37,28,646,713,12,urgent,11
12,1,63,48,538,1043,281,normal,12
13,59,20,5,1072,1157,6,urgent,13
14,32,75,12,165,678,74,normal,14
15,57,21,29,244,828,172,normal,15
16,88,48,7,562,1099,45,normal,16
17,90,58,26,558,1151,154,normal,17
18,41,91,24,479,1033,143,normal,18
19,59,79,21,469,1068,126,normal,19
20,14,61,24,337,905,143,normal,20
21,61,46,19,697,1297,114,normal,21
22,61,50,24,477,966,143,normal,22
23,54,63,19,216,719,114,normal,23
24,2,100,11,206,784,68,normal,24
25,50,6,29,166,757,172,normal,25
26,20,72,38,249,752,223,normal,26
27,38,17,26,93,668,154,normal,27
28,3,88,50,463,954,292,normal,28
29,59,13,15,586,1120,91,normal,29
30,8,89,24,306,388,11,urgent,30
31,52,1,24,350,928,143,normal,31
32,83,91,15,144,736,91,normal,32
33,59,70,44,378,941,258,normal,33
34,43,7,6,768,1260,39,normal,34
35,46,34,30,205,703,177,normal,35
36,77,80,28,460,1039,166,normal,36
37,35,49,20,259,799,120,normal,37
38,3,1,13,181,259,8,urgent,38
39,5,53,37,526,1014,217,normal,39
40,3,53,27,792,879,12,urgent,40
41,92,62,9,453,1027,57,normal,41
42,17,89,30,586,1117,177,normal,42
43,43,33,30,175,765,177,normal,43
44,73,61,36,111,707,212,normal,44
45,99,13,30,492,1070,177,normal,45
46,94,47,29,539,1043,172,normal,46
47,14,71,19,631,1210,114,normal,47
48,77,86,32,1239,1321,13,urgent,48
49,61,39,14,66,602,85,normal,49
50,84,79,30,113,701,177,normal,50
51,81,52,7,448,985,45,normal,51
52,23,25,9,693,1267,57,normal,52
53,88,59,20,225,709,120,normal,53
54,40,28,23,275,841,137,normal,54
55,14,44,27,716,786,12,urgent,55
56,64,88,43,140,730,252,normal,56
57,70,8,34,1171,1239,14,urgent,57
58,87,0,5,589,1126,34,normal,58
59,7,87,8,259,335,7,urgent,59
60,62,10,19,700,1188,114,normal,60
61,80,7,26,599,1144,154,normal,61
62,34,34,14,1226,1314,9,urgent,62
63,32,4,14,417,934,85,normal,63
64,40,27,30,537,1024,177,normal,64
65,6,72,50,398,986,292,normal,65
66,71,11,11,570,651,8,urgent,66
67,33,32,18,552,1048,108,normal,67
68,47,22,15,263,813,91,normal,68
69,61,87,9,193,717,57,normal,69
70,36,98,21,149,664,126,normal,70
71,43,85,14,502,1012,85,normal,71
72,90,34,24,250,837,143,normal,72
73,64,98,10,170,688,62,normal,73
74,100,46,9,118,187,7,urgent,74
75,77,2,18,259,348,10,urgent,75
76,0,4,6,325,817,39,normal,76
77,89,13,8,744,1281,51,normal,77
78,26,8,29,532,1103,172,normal,78
79,78,14,14,433,973,85,normal,79
80,89,41,48,65,583,281,normal,80
81,76,50,14,391,453,9,urgent,81
82,62,95,30,578,667,13,urgent,82
83,51,95,15,579,1121,91,normal,83
84,3,93,22,923,999,11,urgent,84
85,100,22,19,206,718,114,normal,85
86,14,42,8,117,602,51,normal,86
87,28,35,45,216,739,263,normal,87
88,12,31,45,370,910,263,normal,88
89,70,58,31,116,616,183,normal,89
90,85,27,5,279,876,34,normal,90
91,65,41,15,259,813,91,normal,91
92,44,61,18,249,764,108,normal,92
93,56,5,22,604,1102,131,normal,93
94,27,27,26,454,990,154,normal,94
95,43,83,47,287,813,275,normal,95
96,29,61,7,565,1093,45,normal,96
97,74,91,30,490,984,177,normal,97
98,88,61,15,719,779,9,urgent,98
99,96,0,48,117,683,281,normal,99
100,26,61,15,401,954,91,normal,100
101,76,2,19,493,1048,114,normal,101
